TIME;Cours_action_ZE;Inflation_ZE;TX_LT;Var_CAC40;Var_FTSE100;Var_DAX;Var_EUST50;TX_change_ZE;PIB_ZE;PIB_G7;FBCF_EU;FIDLEUI LX Equity
2011-10;63,46397;3;4,0761;8,75%;8,11%;11,62%;9,43%;0,719355;-0,361605;0,522712;0,016681;8,72
2011-11;61,52987;3;4,3919;-2,72%;-0,70%;-0,85%;-2,30%;0,719355;-0,361605;0,522712;0,016681;8,59
2011-12;62,38239;2,8;4,0908;0,16%;1,21%;-3,13%;-0,60%;0,719355;-0,361605;0,522712;0,016681;8,74
2012-01;65,52468;2,7;3,9047;4,39%;1,96%;9,50%;4,32%;0,778294;-0,217631;0,56227;-1,187243;9,182
2012-02;69,40412;2,7;3,7447;4,67%;3,34%;6,15%;3,95%;0,778294;-0,217631;0,56227;-1,187243;9,682
2012-03;70,38325;2,7;3,2821;-0,83%;-1,76%;1,32%;-1,39%;0,778294;-0,217631;0,56227;-1,187243;9,742
2012-04;66,0906;2,6;3,3817;-6,16%;-0,53%;-2,67%;-6,90%;0,778294;-0,323956;0,057546;-0,484784;9,703
2012-05;62,28695;2,4;3,5252;-6,09%;-7,27%;-7,35%;-8,13%;0,778294;-0,323956;0,057546;-0,484784;9,145
2012-06;60,68549;2,4;3,4055;5,95%;4,70%;2,42%;6,88%;0,778294;-0,323956;0,057546;-0,484784;9,404
2012-07;63,56952;2,4;3,2488;2,97%;1,15%;5,55%;2,69%;0,778294;-0,095718;0,120103;-0,772909;9,799
2012-08;67,52279;2,6;3,008;3,69%;1,35%;2,93%;4,94%;0,778294;-0,095718;0,120103;-0,772909;9,844
2012-09;70,21201;2,6;2,4182;-1,71%;0,54%;3,52%;0,56%;0,778294;-0,095718;0,120103;-0,772909;9,823
2012-10;69,80975;2,5;2,3053;2,22%;0,71%;0,62%;2,01%;0,778294;-0,42061;-0,010907;0,248131;9,883
2012-11;69,82182;2,2;2,2467;3,73%;1,45%;2,00%;2,86%;0,778294;-0,42061;-0,010907;0,248131;10,1
2012-12;72,95261;2,2;2,0989;2,36%;0,53%;2,79%;2,36%;0,778294;-0,42061;-0,010907;0,248131;10,13
